티커	종목명	CIK	유니버스	종합판정	종합판정사유	현재가	EPS(FY)	EPS기준연도	배당수익률(%)	현금및현금성자산	유가증권성자산	현금성자산합계	장기부채	단기위험부채	주주지분	총부채	주주지분비중	부채비중	주주대부채배수	주당순현금(린치식)	주당순현금(보수형)	순현금차감PER(린치식)	순현금차감PER(보수형)	연간이익증가율(1년,%)	연간이익증가율(3년CAGR,%)	연간이익증가율(5년CAGR,%)	그레이엄적정PER(1년)	그레이엄적정PER(3년)	그레이엄적정PER(5년)	그레이엄내재가치(1년)	그레이엄내재가치(3년)	그레이엄내재가치(5년)	그레이엄괴리율(1년,%)	그레이엄괴리율(3년,%)	그레이엄괴리율(5년,%)	그레이엄사용기준	그레이엄적정PER(선택)	그레이엄내재가치(선택)	그레이엄괴리율(선택,%)	배당감안점수(1년)	배당감안점수(3년)	배당감안점수(5년)	주당잉여현금흐름	잉여현금흐름수익률(%)	배당감안점수기준	배당감안점수	배당감안점수판정	사용연성장률기준	사용연성장률(%)	린치PER배수	린치PER판정	하드필터통과	하드필터사유	발행주식수	비고
AMGN	AMGEN INC	0000318154	Dow 30	제외	PEG=불리, PEGY=불리(<1)	329.82000732421875	14.23	2025	3.06	9129000000.0	0.0	9129000000.0	50005000000.0	0.0	8658000000.0					-75.41697416974169	-75.41697416974169	28.47765154560509	28.47765154560509	88.22751322751324	5.524568667280372	38.82227702083121	184.95502645502648	19.549137334560744	86.14455404166242	2631.910026455027	278.1842242707994	1225.8370040128561	697.9837390118709	-15.655746136304115	271.6684788039063	3년	19.549137334560744	278.1842242707994	-15.655746136304117	3.205584318683101	0.30144931907509115	1.470706843707231	14.944649446494465	4.531153087933691	3년	0.3014493190750911	불리(<1)	3년	5.524568667280372	5.154728497496264	불리	N	주당순현금<=0	542000000.0	
AAPL	Apple Inc.	0000320193	Dow 30	제외	PEG=불리, PEGY=보통	280.1400146484375	7.46	2025	39.0	35934000000.0	18763000000.0	54697000000.0	78328000000.0	7979000000.0	73733000000.0	285508000000.0	20.524661717342955	79.47533828265705	0.2582519579136136	-1.5749068441701954	-2.106673663586809	37.76339430195814	37.83467671742954	22.69736842105263	6.880679389561806	59.17805489937251	53.89473684210526	22.26135877912361	126.85610979874502	402.0547368421052	166.06973649226214	946.3465790986379	43.519210330114724	-40.719023413819755	237.81199743501767	3년	22.26135877912361	166.06973649226214	-40.719023413819755	1.6337876814705041	1.2149511514430462	2.5998207182949575	6.582405496092323	2.349684140751164	3년	1.2149511514430462	보통	3년	6.880679389561806	5.4883234872484135	불리	N	주당순현금<=0	15004697000.0	단기위험부채 존재
PG	PROCTER & GAMBLE Co	0000080424	Dow 30	제외	PEG=불리, PEGY=불리(<1)	147.25999450683594	6.51	2025	2.89	4239000000.0		4239000000.0	24995000000.0	4108000000.0	52284000000.0	72946000000.0	41.75037930208417	58.24962069791584	0.7167493762509254	-8.45664928292047	-10.130378096479792	23.919607340976405	24.176708541215937	8.139534883720936	3.864775179637991	43.49588337951526	24.77906976744187	16.229550359275983	95.49176675903053	161.31174418604658	105.65437283888664	621.6514016012887	9.542136495569654	-28.25317344828362	322.14547384926806	3년	16.229550359275983	105.65437283888664	-28.25317344828362	0.46110852600938673	0.28239490236390563	1.9392410050165054	5.721968709256845	3.885623334714457	3년	0.2823949023639056	불리(<1)	3년	3.8647751796379914	6.189132932492318	불리	N	주당순현금<=0	2454400000.0	단기위험부채 존재
HD	HOME DEPOT, INC.	0000354950	Dow 30	제외	PEG=불리, PEGY=불리(<1)	323.8800048828125	14.23	2025	2.88	1389000000.0		1389000000.0	8707000000.0	4464000000.0	12813000000.0	92282000000.0	12.191826442742281	87.80817355725772	0.13884614551050042	-7.354773869346734	-11.841206030150754	23.277215653700576	23.592495496343165	-4.560697518443995	-5.176454930934304	3.5714638909686514	-0.6213950368879892	-1.8529098618686088	15.642927781937303	-8.842451374916088	-26.366907334390305	222.5988623369678	-102.73016278918345	-108.14094940622545	-31.271193349058592	5년	15.642927781937303	222.5988623369678	-31.271193349058592	-0.07220354631103829	-0.09865677085692239	0.27715788636185135			5년	0.2771578863618513	불리(<1)	5년	3.5714638909686514	6.517555927854373	불리	N	주당순현금<=0 | FCF<=0	995000000.0	단기위험부채 존재
MCD	MCDONALDS CORP	0000063908	Dow 30	제외	PEG=불리, PEGY=불리(<1)	286.6400146484375	11.95	2025	2.6	774000000.0		774000000.0	39973000000.0	798000000.0	-1791000000.0					-54716638.74930207	-55830541.59687325	4578822.208311022	4672035.835722838	4.91659350307286	12.78230543570502	13.62338129334184	18.33318700614572	34.06461087141004	35.74676258668368	219.08158472344135	407.07209991335	427.17381291086997	-23.56908542858408	42.01509876861464	49.02797623520794	3년	34.06461087141004	407.07209991335	42.01509876861464	1.6415997741579675e-06	3.3594458871507593e-06	3.5431341413289153e-06	10030709.10106086	3499409.9178244434	3년	3.3594458871507593e-06	불리(<1)	3년	12.782305435705021	358215.67802009516	불리	N	주당순현금<=0	716.4	단기위험부채 존재
VZ	VERIZON COMMUNICATIONS INC	0000732712	Dow 30	제외	PEG=판정불가, PEGY=불리(<1)	48.11000061035156	4.06	2025	5.88	19048000000.0	350000000.0	19398000000.0	89658000000.0	441000000.0	105741000000.0					-16.606003308910424	-16.71023398723706	15.93990244316798	15.965575024036609	-1.932367149758456	-7.0765828174263685	-1.1420692869857585	4.635265700483088	-5.653165634852737	6.215861426028483	18.819178743961334	-22.95185247750211	25.236397389675638	-60.88302119058358	-147.70703011083248	-47.54438355952616	판정불가				0.24765727797371453	-0.0750683902672966	0.2972371211120537			5년	0.2972371211120537	불리(<1)	판정불가			판정불가	N	주당순현금<=0 | FCF<=0	4231000000.0	단기위험부채 존재
UNH	UNITEDHEALTH GROUP INC	0000731766	Dow 30	제외	PEG=판정불가, PEGY=판정불가	368.7799987792969	13.23	2025	2.4	24365000000.0	3756000000.0	28121000000.0	72320000000.0	3620000000.0	32454000000.0	207883000000.0	13.503538780961733	86.49646121903827	0.1561166617760952	-48.51701427003293	-52.49066959385291	31.541724342352968	31.842076218681008	-14.700193423597675	-14.517352798270888	-3.7667253412291712	-20.90038684719535	-20.534705596541777	0.9665493175416575	-276.5121179883945	-271.6741550422477	12.78744747107613	-174.98023724271397	-173.66835401635652	-96.53249972520092	판정불가				-0.38996578912718055	-0.3841690031511749	-0.04333071097809282	17.64544456641054	4.784816048814724	판정불가		판정불가	판정불가			판정불가	N	주당순현금<=0	911000000.0	단기위험부채 존재
CVX	CHEVRON CORP	0000093410	Dow 30	제외	PEG=판정불가, PEGY=판정불가	190.6300048828125	6.63	2025	3.73	8178000000.0	0.0	8178000000.0	33477000000.0	977000000.0	186450000000.0	131836000000.0	58.57939086230623	41.42060913769377	1.414257107315149	-13.63092672413793	-14.157327586206897	30.808586969374122	30.88798378114923	-31.79012345679013	-28.68529133996226		-55.08024691358026	-48.87058267992452		-365.1820370370371	-324.0119631678995		-291.56587508956335	-269.9690263172799		판정불가				-0.9107890434794639	-0.8100109026346958				판정불가		판정불가	판정불가			판정불가	N	주당순현금<=0 | FCF<=0	1856000000.0	단기위험부채 존재
HON	HONEYWELL INTERNATIONAL INC	0000773840	Dow 30	제외	PEG=판정불가, PEGY=판정불가	212.5	-0.18	2025	2.24	12487000000.0	443000000.0	12930000000.0	29046000000.0	5893000000.0	13904000000.0					-25.07156191661481	-34.23926571250778			-102.06659012629163			-195.63318025258326			35.21397244546498			-83.42871884919295			판정불가							8.434971997510889	3.9693985870639477	판정불가		판정불가	판정불가			판정불가	N	주당순현금<=0 | 순현금차감PER<=0/불가	642800000.0	단기위험부채 존재
V	VISA INC.	0001403161	Dow 30	제외	PEG=판정불가, PEGY=판정불가	328.0299987792969			82.0	17164000000.0	3604000000.0	20768000000.0	19602000000.0	5569000000.0	26437000000.0	61718000000.0	29.98922352674267	70.01077647325732	0.4283515343983927																	판정불가									판정불가		판정불가	판정불가			판정불가	N	주당순현금<=0 | FCF<=0 | 순현금차감PER<=0/불가		단기위험부채 존재 | EPS 없음
