순위	종목코드	종목명	그룹	판정구분	현재가	현금배당금(FY2025 DPS)	EPS(FY2025)	현금및현금성자산	유가증권성자산	장기부채	단기위험부채	주주지분	총부채	주주지분비중	부채비중	주주대부채배수	주주대부채판정	업종보정유형	업종보정판정	주당순현금(린치식)	주당순현금(보수형)	순현금차감PER(린치식)	순현금차감PER(보수형)	현금보다부채많음(린치형)	현금보다부채많음(보수형)	연간이익증가율(1년,%)	연간이익증가율(3년CAGR,%)	연간이익증가율(5년CAGR,%)	그레이엄적정PER(1년)	그레이엄적정PER(3년)	그레이엄적정PER(5년)	그레이엄내재가치(1년)	그레이엄내재가치(3년)	그레이엄내재가치(5년)	그레이엄괴리율(1년,%)	그레이엄괴리율(3년,%)	그레이엄괴리율(5년,%)	그레이엄사용기준	그레이엄적정PER(선택)	그레이엄내재가치(선택)	그레이엄괴리율(선택,%)	배당수익률(%)	배당감안이익성장률(1년)	배당감안이익성장률(3년)	배당감안이익성장률(5년)	주당잉여현금흐름	잉여현금흐름수익률(%)	배당감안점수기준	배당감안점수	배당감안점수판정	사용연성장률기준	사용연성장률(%)	린치PER배수	린치PER판정	하드필터통과	하드필터사유	종합판정	종합판정사유	발행주식수	비고
21	329180	HD현대중공업	직접추가	메인	671000.0	5661.0	15702.0	1869917695000.0		20593805000.0							판정불가	일반	일반	17619.114963644908	17619.114963644908	41.611316076700746	41.611316076700746	N	N	124.2822453935152			257.0644907870304			4036426.634337952			501.55389483427007			1년	257.0644907870304	4036426.634337952	501.55389483427007	0.8436661698956781	3.0070164407386315					1년	3.0070164407386315	안심(>=2)	1년	124.2822453935152	0.3348130374129203	매우 유망	N	주당FCF<=0	제외	하드필터 미통과	104961225.0	fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
22	034230	파라다이스	직접추가	메인	15980.0	150.0	1087.0	341761126505.0	5000000000.0	796472209722.0	137240950000.0						판정불가	일반	일반	-4866.710272452332	-6351.912585875921	19.17820632240325	20.54453779749395	Y	Y	24.22857142857142	54.2810589168254		56.95714285714284	117.0621178336508		61912.414285714265	127246.52208517843		287.4368853924547	696.2861206832191		3년	117.0621178336508	127246.52208517843	696.2861206832191	0.9386733416770965	1.3122835549458607	2.879295974305841		1428.3554813839717	8.938394752089936	3년	2.879295974305841	안심(>=2)	3년	54.2810589168254	0.35331304703892974	매우 유망	N	주당순현금<=0	제외	하드필터 미통과	92405559.0	주당순현금 음수(린치식); 주당순현금 음수(보수형); 단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
23	006040	동원산업	직접추가	메인	39250.0	1150.0	8793.0	462412200801.0	2315664040.0	920658109908.0	869187931428.0						판정불가	일반	일반	-10327.316971310991	-30015.370950217297	5.638271007768792	7.8773309394083135	Y	Y	362.7894736842105	15.223245686790676	-33.98325939665047	734.078947368421	38.94649137358135		6454756.184210526	342456.4986479008		16345.23868588669	772.5006334978366		3년	38.94649137358135	342456.4986479008	772.5006334978366	2.9299363057324843	64.86375158023266	3.2196362976363626	-5.50759675228995	2047.1984446583815	5.2157922156901435	3년	3.2196362976363626	안심(>=2)	3년	15.223245686790676	0.37037246351881203	매우 유망	N	주당순현금<=0	제외	하드필터 미통과	44147986.0	주당순현금 음수(린치식); 주당순현금 음수(보수형); 단기위험부채 존재; 1년 점수 과열 가능; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
24	011210	현대위아	직접추가	메인	97000.0	1200.0	5351.0	1116473000000.0	572468000000.0	739686000000.0	71245000000.0						판정불가	일반	일반	34905.39080171221	32285.615748994038	11.604299980991925	12.093886049524567	N	N	46.32212195788898	29.51602682110046	18.44874189552963	101.14424391577796	67.53205364220092	45.39748379105926	541222.8491933278	361364.01903941715	242921.9357659581	457.961700199307	272.54022581383214	150.43498532573	3년	67.53205364220092	361364.01903941715	272.54022581383214	1.2371134020618557	4.0984148494828485	2.650150398863919	1.6964276457724556	5543.207939464645	5.7146473602728305	3년	2.650150398863919	안심(>=2)	3년	29.51602682110046	0.39315250834154364	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	27195083.0	단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
25	003230	삼양식품	직접추가	메인	1439000.0	4800.0	52156.0	332840576772.0	3879418399.0	340183053989.0	92341086958.0						판정불가	일반	일반	-459.7174993014085	-12717.901899305922	27.59912028336723	27.83414951106883	Y	Y	43.018536799385764	69.73880446754251	42.35358590359803	94.53707359877153	147.97760893508502	93.20717180719606	4930675.610617528	7717920.171618294	4861313.252776118	242.64597711032158	436.339136318158	237.8257993590075	3년	147.97760893508502	7717920.171618294	436.339136318158	0.33356497567755383	1.570778391845689	2.53893489081424	1.5466852001439062	-20189.147647522273	-1.402998446665898	3년	2.53893489081424	안심(>=2)	3년	69.73880446754251	0.39574983388498264	매우 유망	N	주당순현금<=0 / 주당FCF<=0	제외	하드필터 미통과	7533015.0	주당순현금 음수(린치식); 주당순현금 음수(보수형); 단기위험부채 존재; 주당FCF 음수; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
26	105560	KB금융	금융/은행	보정필요	156000.0	4367.0	15410.0		89862530000000.0	80049270000000.0							판정불가	금융보정	보정양호	25725.386408830236	25725.386408830236	8.45390094686371	8.45390094686371	N	N	19.64285714285714			47.78571428571428			736377.857142857			372.0370879120878			1년	47.78571428571428	736377.857142857	372.0370879120878	2.7993589743589746	2.6546580399125554					1년	2.6546580399125554	안심(>=2)	1년	19.64285714285714	0.43038041184033443	매우 유망	N	주당FCF<=0	제외	하드필터 미통과	381462103.0	린치식 단독판정 비중 낮춤; fs=2025:CFS,2024:CFS,2022:NA,2020:NA
27	000270	기아	직접추가	메인	178100.0	6800.0	19382.0	13998106000000.0	7661873000000.0	978970000000.0	211292000000.0						판정불가	일반	일반	52972.13234688462	52430.93110337479	6.455880077036188	6.483802956177135	N	N	-22.138753866548832	12.82583771622907	39.189006811542605		34.15167543245814	86.87801362308521		661927.7732319037	1683869.6600426375		271.6607373564872	845.4630320284319	3년	34.15167543245814	661927.7732319037	271.6607373564872	3.8180797304884897	-2.837827518083504	2.578102016783213	6.661692291188764	10401.987179740363	5.840531824671737	3년	2.578102016783213	안심(>=2)	3년	12.82583771622907	0.5033495838534813	헐값	Y	통과	양호	배당감안점수>=1.5 & 린치PER배수<1	390412998.0	단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
28	064350	현대로템	방산	메인	212500.0	600.0	7055.0	908414081000.0		60775088000.0	49136977000.0						판정불가	일반	일반	7766.386844661084	7316.175404518884	29.019647506072136	29.083462026290736	N	N	89.24356223175967	57.31843168250532	84.95065921728904	186.98712446351934	123.13686336501064	178.4013184345781	1319194.163090129	868730.57104015	1258621.3015559483	520.7972532188842	308.8143863718353	492.29237720279923	3년	123.13686336501064	868730.57104015	308.8143863718353	0.2823529411764706	3.085010427993777	1.984889189699126	2.93707951278978	6852.009336460757	3.224474981863886	3년	1.984889189699126	양호(>=1.5)	3년	57.31843168250532	0.5062882331954921	헐값	Y	통과	양호	배당감안점수>=1.5 & 린치PER배수<1	109142000.0	단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
29	012450	한화에어로스페이스	우주항공/방산	메인	1306000.0	7000.0	28530.0	7713355500000.0		12463889065000.0							판정불가	일반	일반	-92129.95017531911	-92129.95017531911	49.00560638539499	49.00560638539499	Y	Y	-37.89049744203766	93.07351740567623	64.20288154253949		194.64703481135246	136.90576308507897		5553279.903167886	3905921.420817303		325.2128562915685	199.07514707636315	3년	194.64703481135246	5553279.903167886	325.2128562915685	0.5359877488514548	-0.7622497189284627	1.9101795092250071	1.3210502647853142	39867.85493454941	3.052668831129358	3년	1.9101795092250071	양호(>=1.5)	3년	93.07351740567623	0.5265257803870891	헐값	N	주당순현금<=0	제외	하드필터 미통과	51563401.0	주당순현금 음수(린치식); 주당순현금 음수(보수형); fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
30	082740	한화엔진	직접추가	메인	77400.0		2071.0	276708027934.0	133988650000.0	53947006810.0	30000000000.0						판정불가	일반	일반	4275.157453852644	3915.6484367553294	35.308953426435224	35.48254541923934	N	N	113.94628099173553		62.28278611303117	236.39256198347107		133.06557222606233	489568.9958677686		275578.8000801751	532.5180825164969		256.04496134389547	5년	133.06557222606233	275578.8000801751	256.04496134389547		3.227121450346525		1.7639374738986484	3492.7128128726085	4.512548853840579	5년	1.7639374738986484	양호(>=1.5)	5년	62.28278611303117	0.5669135186463291	헐값	Y	통과	양호	배당감안점수>=1.5 & 린치PER배수<1	83447142.0	단기위험부채 존재; fs=2025:CFS,2024:OFS,2022:CFS,2020:CFS
31	030200	KT	통신	보정필요	61600.0	2400.0	7119.0	3506971000000.0									판정불가	통신보정	보정양호	13915.354148989203	13915.354148989203	6.698222482232167	6.698222482232167	N	N	273.1132075471698	10.974077918572789	21.542256858726816	554.7264150943396	30.448155837145578	51.58451371745363	3949097.3490566034	216760.42140463938	367230.1531545524	6310.872319897084	251.8838009815574	496.15284603011753	3년	30.448155837145578	216760.42140463938	251.8838009815574	3.896103896103896	41.355645050321016	2.2200190952333414	3.7977778167728813	17845.761962904104	28.970392796922244	3년	2.2200190952333414	안심(>=2)	3년	10.974077918572789	0.6103676802673268	헐값	Y	통과	양호	배당감안점수>=1.5 & 린치PER배수<1	252021685.0	린치식 단독판정 비중 낮춤; 1년 점수 과열 가능; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
32	010120	LS ELECTRIC	전력설비	메인	280000.0	3000.0	9647.0	762716704001.0	205184236697.0	773010797653.0	302192853551.0						판정불가	일반	일반	6496.3381015	-3576.7570168666666	28.351162216077537	29.395330881814726	N	Y	19.423124535776193	45.94979891928113	27.235637161019888	47.346249071552386	100.39959783856226	62.971274322039775	456749.26479326584	968554.9203486101	607483.8833847177	63.12473742616638	245.91247155307508	116.95852978025636	3년	100.39959783856226	968554.9203486101	245.91247155307508	1.0714285714285714	0.7228822914209351	1.6585290977611011	0.9984446322414229	3012.7272868333334	1.0759740310119048	3년	1.6585290977611011	양호(>=1.5)	3년	45.94979891928113	0.6170029659081059	헐값	Y	통과	양호	배당감안점수>=1.5 & 린치PER배수<1	30000000.0	주당순현금 음수(보수형); 단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
